Discharge Year;Patient County;PDI Number;PDI Name;Medicaid PDI Hospitalizations;County Medicaid Population;Observed Rate per 100,000 people;Expected PQI Hospitalizations;Expected Rate per 100,000 people;Risk Adjusted Rate per 100,000 people;Difference in Hospitalizations
2011;Cayuga;PDI_92;Pediatric Quality Chronic Composite;3;3,240;92.59;4.5;139;164.62;-1.5
2011;Cayuga;PDI_90;Pediatric Quality Overall Composite;3;3,240;92.59;6.32;194.94;153.68;-3.32
2011;Cayuga;PDI_18;Urinary Tract Infection;2;5,606;35.68;1.98;35.28;57.41;0.02
2011;Chautauqua;PDI_14;Asthma;12;10,623;112.96;20.19;190.04;188.64;-8.19
2011;Chautauqua;PDI_15;Diabetes Short-term Complications;1;7,384;13.54;2.57;34.81;13.09;-1.57
2011;Chautauqua;PDI_16;Gastroenteritis;4;12,270;32.6;12.22;99.58;39.46;-8.22
2011;Chautauqua;PDI_91;Pediatric Quality Acute Composite;0;7,384;0;4.8;64.99;0;-4.8
2011;Chautauqua;PDI_92;Pediatric Quality Chronic Composite;7;7,384;94.8;12.05;163.22;143.53;-5.05
2011;Chautauqua;PDI_90;Pediatric Quality Overall Composite;7;7,384;94.8;16.85;228.21;134.4;-9.85
2011;Chautauqua;PDI_18;Urinary Tract Infection;2;12,270;16.3;5.47;44.58;20.76;-3.47
2011;Chemung;PDI_14;Asthma;11;6,914;159.1;13.67;197.75;255.33;-2.67
2011;Chemung;PDI_15;Diabetes Short-term Complications;3;4,642;64.63;1.59;34.31;63.36;1.41
2011;Chemung;PDI_16;Gastroenteritis;10;8,156;122.61;7.84;96.15;153.71;2.16
2011;Chemung;PDI_91;Pediatric Quality Acute Composite;4;4,642;86.17;2.73;58.74;112.12;1.27
2011;Chemung;PDI_92;Pediatric Quality Chronic Composite;8;4,642;172.34;7.47;160.98;264.57;0.53
2011;Chemung;PDI_90;Pediatric Quality Overall Composite;12;4,642;258.51;10.2;219.71;380.67;1.8
2011;Chemung;PDI_18;Urinary Tract Infection;10;8,156;122.61;3.13;38.38;181.34;6.87
2011;Chenango;PDI_14;Asthma;3;3,784;79.28;4.53;119.69;210.22;-1.53
2011;Chenango;PDI_15;Diabetes Short-term Complications;1;2,633;37.98;0.92;34.86;36.65;0.08
2011;Chenango;PDI_16;Gastroenteritis;4;4,392;91.07;3.68;83.73;131.11;0.32
2011;Chenango;PDI_91;Pediatric Quality Acute Composite;0;2,633;0;1.4;53.31;0;-1.4
2011;Chenango;PDI_92;Pediatric Quality Chronic Composite;2;2,633;75.96;2.95;111.87;167.79;-0.95
2011;Chenango;PDI_90;Pediatric Quality Overall Composite;2;2,633;75.96;4.35;165.18;148.78;-2.35
2011;Chenango;PDI_18;Urinary Tract Infection;1;4,392;22.77;1.47;33.48;38.61;-0.47
2011;Clinton;PDI_14;Asthma;10;4,472;223.61;5.83;130.32;544.56;4.17
2011;Clinton;PDI_15;Diabetes Short-term Complications;0;3,022;0;1.03;33.98;0;-1.03
2011;Clinton;PDI_16;Gastroenteritis;5;5,315;94.07;4.71;88.61;127.97;0.29
2011;Clinton;PDI_91;Pediatric Quality Acute Composite;1;3,022;33.09;1.66;54.79;46.16;-0.66
2011;Clinton;PDI_92;Pediatric Quality Chronic Composite;4;3,022;132.36;3.52;116.37;281.09;0.48
2011;Clinton;PDI_90;Pediatric Quality Overall Composite;5;3,022;165.45;5.17;171.16;312.75;-0.17
2011;Clinton;PDI_18;Urinary Tract Infection;2;5,315;37.63;1.84;34.66;61.63;0.16
2011;Columbia;PDI_14;Asthma;1;3,146;31.79;6.61;210.25;47.98;-5.61
2011;Columbia;PDI_15;Diabetes Short-term Complications;1;2,108;47.44;0.7;33.21;48.06;0.3
2011;Columbia;PDI_16;Gastroenteritis;1;3,744;26.71;3.78;100.94;31.9;-2.78
2011;Columbia;PDI_91;Pediatric Quality Acute Composite;0;2,108;0;1.25;59.35;0;-1.25
2011;Columbia;PDI_92;Pediatric Quality Chronic Composite;2;2,108;94.88;3.57;169.49;138.34;-1.57
2011;Columbia;PDI_90;Pediatric Quality Overall Composite;2;2,108;94.88;4.82;228.84;134.14;-2.82
2011;Columbia;PDI_18;Urinary Tract Infection;1;3,744;26.71;1.57;41.82;36.26;-0.57
2011;Cortland;PDI_14;Asthma;5;3,389;147.54;4.5;132.83;352.51;0.5
2011;Cortland;PDI_15;Diabetes Short-term Complications;0;2,282;0;0.81;35.58;0;-0.81
2011;Cortland;PDI_16;Gastroenteritis;2;3,934;50.84;3.44;87.38;70.13;-1.44
2011;Cortland;PDI_91;Pediatric Quality Acute Composite;1;2,282;43.82;1.28;56.04;59.76;-0.28
2011;Cortland;PDI_92;Pediatric Quality Chronic Composite;2;2,282;87.64;2.74;119.95;180.57;-0.74
2011;Cortland;PDI_90;Pediatric Quality Overall Composite;3;2,282;131.46;4.02;175.99;241.69;-1.02
2011;Cortland;PDI_18;Urinary Tract Infection;5;3,934;127.1;1.37;34.7;207.94;3.63
2011;Delaware;PDI_14;Asthma;6;2,625;228.57;3.72;141.56;512.42;2.28
2011;Delaware;PDI_15;Diabetes Short-term Complications;0;1,724;0;0.57;33.3;0;-0.57
2011;Delaware;PDI_16;Gastroenteritis;4;3,096;129.2;2.88;92.92;167.6;1.12
2011;Delaware;PDI_91;Pediatric Quality Acute Composite;1;1,724;58;0.98;56.61;78.31;0.02
2011;Delaware;PDI_92;Pediatric Quality Chronic Composite;4;1,724;232.02;2.14;124.3;461.26;1.86
2011;Delaware;PDI_90;Pediatric Quality Overall Composite;5;1,724;290.02;3.12;180.92;518.66;1.88
2011;Delaware;PDI_18;Urinary Tract Infection;0;3,096;0;1.18;38.03;0;-1.18
2011;Dutchess;PDI_14;Asthma;39;11,317;344.61;35.47;313.39;348.98;3.53
2011;Dutchess;PDI_15;Diabetes Short-term Complications;3;7,480;40.11;2.54;34.02;39.66;0.46
2011;Dutchess;PDI_16;Gastroenteritis;6;13,493;44.47;16.66;123.44;43.42;-10.66
2011;Dutchess;PDI_91;Pediatric Quality Acute Composite;2;7,480;26.74;5.48;73.21;27.91;-3.48
2011;Dutchess;PDI_92;Pediatric Quality Chronic Composite;18;7,480;240.64;17.92;239.54;248.26;0.08
2011;Dutchess;PDI_90;Pediatric Quality Overall Composite;20;7,480;267.38;23.39;312.75;276.6;-3.39
2011;Dutchess;PDI_18;Urinary Tract Infection;4;13,493;29.65;7.7;57.07;29.49;-3.7
2011;Erie;PDI_14;Asthma;151;59,283;254.71;183.15;308.94;261.65;-32.15
2011;Erie;PDI_15;Diabetes Short-term Complications;27;41,017;65.83;14.72;35.89;61.71;12.28
2011;Erie;PDI_16;Gastroenteritis;98;68,687;142.68;71.51;104.11;165.2;26.49
2011;Erie;PDI_91;Pediatric Quality Acute Composite;20;41,017;48.76;27.92;68.07;54.75;-7.92
2011;Erie;PDI_92;Pediatric Quality Chronic Composite;90;41,017;219.42;101.69;247.91;218.72;-11.69
2011;Erie;PDI_90;Pediatric Quality Overall Composite;110;41,017;268.18;129.6;315.98;274.6;-19.6
2011;Erie;PDI_18;Urinary Tract Infection;19;68,687;27.66;29.59;43.08;36.45;-10.59
2011;Essex;PDI_14;Asthma;1;1,895;52.77;2.18;115.22;145.35;-1.18
2011;Essex;PDI_15;Diabetes Short-term Complications;0;1,282;0;0.47;36.49;0;-0.47
2011;Essex;PDI_16;Gastroenteritis;1;2,263;44.19;1.95;86.13;61.84;-0.95
2011;Essex;PDI_91;Pediatric Quality Acute Composite;0;1,282;0;0.68;53.13;0;-0.68
2011;Essex;PDI_92;Pediatric Quality Chronic Composite;1;1,282;78;1.38;107.26;179.72;-0.38
2011;Essex;PDI_90;Pediatric Quality Overall Composite;1;1,282;78;2.06;160.38;157.35;-1.06
2011;Essex;PDI_18;Urinary Tract Infection;0;2,263;0;0.77;34.11;0;-0.77
2011;Franklin;PDI_14;Asthma;3;3,030;99.01;4.06;134.05;234.4;-1.06
2011;Franklin;PDI_15;Diabetes Short-term Complications;0;2,042;0;0.7;34.19;0;-0.7
2011;Franklin;PDI_16;Gastroenteritis;5;3,570;140.06;3.14;88.07;191.7;1.86
2011;Franklin;PDI_91;Pediatric Quality Acute Composite;3;2,042;146.91;1.11;54.2;207.16;1.89
2011;Franklin;PDI_92;Pediatric Quality Chronic Composite;2;2,042;97.94;2.39;116.94;206.97;-0.39
2011;Nassau;PDI_14;Asthma;144;44,864;320.97;176.52;393.46;258.89;-32.52
2011;Franklin;PDI_90;Pediatric Quality Overall Composite;5;2,042;244.86;3.49;171.14;462.89;1.51
2011;Franklin;PDI_18;Urinary Tract Infection;1;3,570;28.01;1.22;34.18;46.53;-0.22
2011;Fulton;PDI_14;Asthma;20;4,675;427.81;6.06;129.66;1,047.15;13.94
2011;Fulton;PDI_15;Diabetes Short-term Complications;1;3,257;30.7;1.1;33.75;30.61;-0.1
2011;Fulton;PDI_16;Gastroenteritis;6;5,448;110.13;4.71;86.39;153.66;1.29
2011;Fulton;PDI_91;Pediatric Quality Acute Composite;0;3,257;0;1.78;54.79;0;-1.78
2011;Fulton;PDI_92;Pediatric Quality Chronic Composite;12;3,257;368.44;3.83;117.67;773.75;8.17
2011;Fulton;PDI_90;Pediatric Quality Overall Composite;12;3,257;368.44;5.62;172.46;691.18;6.38
2011;Fulton;PDI_18;Urinary Tract Infection;2;5,448;36.71;1.91;35.02;59.51;0.09
2011;Genesee;PDI_14;Asthma;1;3,019;33.12;5.3;175.5;59.9;-4.3
2011;Genesee;PDI_15;Diabetes Short-term Complications;0;2,029;0;0.71;34.78;0;-0.71
2011;Genesee;PDI_16;Gastroenteritis;3;3,554;84.41;3.43;96.64;105.29;-0.43
2011;Genesee;PDI_91;Pediatric Quality Acute Composite;0;2,029;0;1.19;58.41;0;-1.19
2011;Genesee;PDI_92;Pediatric Quality Chronic Composite;1;2,029;49.29;2.96;145.8;83.53;-1.96
2011;Genesee;PDI_90;Pediatric Quality Overall Composite;1;2,029;49.29;4.14;204.21;78.08;-3.14
2011;Genesee;PDI_18;Urinary Tract Infection;0;3,554;0;1.44;40.54;0;-1.44
2011;Greene;PDI_14;Asthma;2;2,657;75.27;4.23;159.15;150.11;-2.23
2011;Greene;PDI_15;Diabetes Short-term Complications;1;1,848;54.11;0.68;36.62;49.71;0.32
2011;Greene;PDI_16;Gastroenteritis;0;3,131;0;2.88;91.91;0;-2.88
2011;Greene;PDI_91;Pediatric Quality Acute Composite;0;1,848;0;1.08;58.61;0;-1.08
2011;Greene;PDI_92;Pediatric Quality Chronic Composite;2;1,848;108.23;2.6;140.61;190.21;-0.6
2011;Greene;PDI_90;Pediatric Quality Overall Composite;2;1,848;108.23;3.68;199.22;175.76;-1.68
2011;Greene;PDI_18;Urinary Tract Infection;0;3,131;0;1.22;39.05;0;-1.22
2011;Herkimer;PDI_14;Asthma;0;3,922;0;4.93;125.77;0;-4.93
2011;Herkimer;PDI_15;Diabetes Short-term Complications;0;2,702;0;0.93;34.37;0;-0.93
2011;Herkimer;PDI_16;Gastroenteritis;3;4,601;65.2;3.93;85.52;91.9;-0.93
2011;Herkimer;PDI_91;Pediatric Quality Acute Composite;1;2,702;37.01;1.49;55.27;51.18;-0.49
2011;Herkimer;PDI_92;Pediatric Quality Chronic Composite;0;2,702;0;3.16;116.93;0;-3.16
2011;Herkimer;PDI_90;Pediatric Quality Overall Composite;1;2,702;37.01;4.65;172.2;69.54;-3.65
2011;Herkimer;PDI_18;Urinary Tract Infection;1;4,601;21.73;1.61;35.07;35.19;-0.61
2011;Jefferson;PDI_14;Asthma;4;6,635;60.29;9.66;145.56;131.44;-5.66
2011;Jefferson;PDI_15;Diabetes Short-term Complications;0;4,444;0;1.58;35.5;0;-1.58
2011;Jefferson;PDI_16;Gastroenteritis;3;7,974;37.62;7.35;92.18;49.2;-4.35
2011;Jefferson;PDI_91;Pediatric Quality Acute Composite;3;4,444;67.51;2.52;56.67;91.04;0.48
2011;Jefferson;PDI_92;Pediatric Quality Chronic Composite;1;4,444;22.5;5.64;127;43.78;-4.64
2011;Jefferson;PDI_90;Pediatric Quality Overall Composite;4;4,444;90.01;8.16;183.67;158.55;-4.16
2011;Jefferson;PDI_18;Urinary Tract Infection;3;7,974;37.62;2.9;36.35;58.76;0.1
2011;Kings;PDI_14;Asthma;1,239;350,185;353.81;1,125.06;321.28;349.5;113.94
2011;Kings;PDI_15;Diabetes Short-term Complications;88;239,723;36.71;79.07;32.98;37.44;8.93
2011;Kings;PDI_16;Gastroenteritis;515;410,089;125.58;472.24;115.15;131.46;42.76
2011;Kings;PDI_91;Pediatric Quality Acute Composite;209;239,723;87.18;177.35;73.98;90.07;31.65
2011;Kings;PDI_92;Pediatric Quality Chronic Composite;664;239,723;276.99;602.7;251.42;272.25;61.3
2011;Kings;PDI_90;Pediatric Quality Overall Composite;873;239,723;364.17;780.05;325.4;362.09;92.95
2011;Kings;PDI_18;Urinary Tract Infection;231;410,089;56.33;211.75;51.64;61.93;19.25
2011;Lewis;PDI_14;Asthma;1;1,506;66.4;1.78;118.08;178.46;-0.78
2011;Lewis;PDI_15;Diabetes Short-term Complications;1;1,029;97.18;0.36;34.54;94.64;0.64
2011;Lewis;PDI_16;Gastroenteritis;1;1,788;55.93;1.54;85.88;78.5;-0.54
2011;Lewis;PDI_91;Pediatric Quality Acute Composite;0;1,029;0;0.55;53.62;0;-0.55
2011;Lewis;PDI_92;Pediatric Quality Chronic Composite;1;1,029;97.18;1.12;108.61;221.11;-0.12
2011;Lewis;PDI_90;Pediatric Quality Overall Composite;1;1,029;97.18;1.67;162.24;193.81;-0.67
2011;Lewis;PDI_18;Urinary Tract Infection;1;1,788;55.93;0.59;32.99;96.25;0.41
2011;Livingston;PDI_14;Asthma;0;2,788;0;3.91;140.27;0;-3.91
2011;Livingston;PDI_15;Diabetes Short-term Complications;0;1,902;0;0.68;35.79;0;-0.68
2011;Livingston;PDI_16;Gastroenteritis;0;3,312;0;3;90.57;0;-3
2011;Livingston;PDI_91;Pediatric Quality Acute Composite;1;1,902;52.58;1.07;56.5;71.13;-0.07
2011;Livingston;PDI_92;Pediatric Quality Chronic Composite;0;1,902;0;2.38;124.94;0;-2.38
2011;Livingston;PDI_90;Pediatric Quality Overall Composite;1;1,902;52.58;3.45;181.44;93.76;-2.45
2011;Livingston;PDI_18;Urinary Tract Infection;1;3,312;30.19;1.24;37.3;45.96;-0.24
2011;Madison;PDI_14;Asthma;2;4,006;49.93;5.22;130.26;121.63;-3.22
2011;Madison;PDI_15;Diabetes Short-term Complications;1;2,761;36.22;0.97;35.03;34.78;0.03
2011;Madison;PDI_16;Gastroenteritis;5;4,708;106.2;4.09;86.94;147.25;0.91
2011;Madison;PDI_91;Pediatric Quality Acute Composite;1;2,761;36.22;1.51;54.86;50.46;-0.51
2011;Madison;PDI_92;Pediatric Quality Chronic Composite;1;2,761;36.22;3.27;118.39;75.6;-2.27
2011;Madison;PDI_90;Pediatric Quality Overall Composite;2;2,761;72.44;4.78;173.25;135.28;-2.78
2011;Madison;PDI_18;Urinary Tract Infection;0;4,708;0;1.63;34.63;0;-1.63
2011;Monroe;PDI_14;Asthma;36;49,592;72.59;175.9;354.69;64.95;-139.9
2011;Monroe;PDI_15;Diabetes Short-term Complications;2;34,233;5.84;12.62;36.86;5.33;-10.62
2011;Monroe;PDI_16;Gastroenteritis;15;57,500;26.09;64.68;112.48;27.96;-49.68
2011;Monroe;PDI_91;Pediatric Quality Acute Composite;8;34,233;23.37;25.12;73.39;24.34;-17.12
2011;Monroe;PDI_92;Pediatric Quality Chronic Composite;23;34,233;67.19;96.33;281.38;59.01;-73.33
2011;Monroe;PDI_90;Pediatric Quality Overall Composite;31;34,233;90.56;121.45;354.77;82.58;-90.45
2011;Monroe;PDI_18;Urinary Tract Infection;5;57,500;8.7;27.7;48.17;10.25;-22.7
2011;Montgomery;PDI_14;Asthma;7;4,518;154.94;9.98;220.88;222.61;-2.98
2011;Montgomery;PDI_15;Diabetes Short-term Complications;1;3,089;32.37;1.09;35.29;30.86;-0.09
2011;Montgomery;PDI_16;Gastroenteritis;5;5,242;95.38;5.76;109.87;104.65;-0.76
2011;Montgomery;PDI_91;Pediatric Quality Acute Composite;1;3,089;32.37;2.16;69.88;35.41;-1.16
2011;Montgomery;PDI_92;Pediatric Quality Chronic Composite;6;3,089;194.24;5.64;182.54;262.95;0.36
2011;Montgomery;PDI_90;Pediatric Quality Overall Composite;7;3,089;226.61;7.8;252.43;290.45;-0.8
2011;Montgomery;PDI_18;Urinary Tract Infection;2;5,242;38.15;2.69;51.32;42.2;-0.69
2011;Nassau;PDI_15;Diabetes Short-term Complications;8;27,985;28.59;9.41;33.63;28.59;-1.41
2011;Nassau;PDI_16;Gastroenteritis;99;54,122;182.92;82.34;152.14;144.93;16.66
2011;Nassau;PDI_91;Pediatric Quality Acute Composite;24;27,985;85.76;23.48;83.91;78.11;0.52
2011;Nassau;PDI_92;Pediatric Quality Chronic Composite;61;27,985;217.97;78.57;280.74;191.87;-17.57
2011;Nassau;PDI_90;Pediatric Quality Overall Composite;85;27,985;303.73;102.05;364.65;269.49;-17.05
2011;Nassau;PDI_18;Urinary Tract Infection;81;54,122;149.66;41.84;77.3;109.91;39.16
2011;New York;PDI_14;Asthma;475;106,863;444.49;375.28;351.17;401.69;99.72
2011;New York;PDI_15;Diabetes Short-term Complications;24;76,583;31.34;26.57;34.7;30.38;-2.57
2011;New York;PDI_16;Gastroenteritis;129;123,637;104.34;156.48;126.57;99.37;-27.48
2011;New York;PDI_91;Pediatric Quality Acute Composite;67;76,583;87.49;65.92;86.07;77.69;1.08
2011;New York;PDI_92;Pediatric Quality Chronic Composite;232;76,583;302.94;212.67;277.7;269.58;19.33
2011;New York;PDI_90;Pediatric Quality Overall Composite;299;76,583;390.43;278.59;363.77;347.24;20.41
2011;New York;PDI_18;Urinary Tract Infection;69;123,637;55.81;79.39;64.21;49.34;-10.39
2011;Niagara;PDI_14;Asthma;11;13,120;83.84;30.38;231.55;114.91;-19.38
2011;Niagara;PDI_15;Diabetes Short-term Complications;8;9,064;88.26;3.23;35.63;83.33;4.77
2011;Niagara;PDI_16;Gastroenteritis;12;15,212;78.89;14.53;95.52;99.54;-2.53
2011;Niagara;PDI_91;Pediatric Quality Acute Composite;1;9,064;11.03;5.58;61.51;13.71;-4.58
2011;Niagara;PDI_92;Pediatric Quality Chronic Composite;12;9,064;132.39;17.27;190.57;171.68;-5.27
2011;Niagara;PDI_90;Pediatric Quality Overall Composite;13;9,064;143.42;22.85;252.08;184.09;-9.85
2011;Niagara;PDI_18;Urinary Tract Infection;4;15,212;26.3;6.04;39.72;37.58;-2.04
2011;Oneida;PDI_14;Asthma;21;18,172;115.56;40.16;221;165.95;-19.16
2011;Oneida;PDI_15;Diabetes Short-term Complications;6;12,432;48.26;4.15;33.37;48.65;1.85
2011;Oneida;PDI_16;Gastroenteritis;30;21,285;140.94;21.03;98.81;171.94;8.97
2011;Oneida;PDI_91;Pediatric Quality Acute Composite;8;12,432;64.35;7.78;62.58;78.59;0.22
2011;Oneida;PDI_92;Pediatric Quality Chronic Composite;13;12,432;104.57;22.27;179.1;144.28;-9.27
2011;Oneida;PDI_90;Pediatric Quality Overall Composite;21;12,432;168.92;30.05;241.68;226.13;-9.05
2011;Oneida;PDI_18;Urinary Tract Infection;11;21,285;51.68;8.91;41.85;70.1;2.09
2011;Onondaga;PDI_14;Asthma;24;30,524;78.63;91.97;301.32;82.81;-67.97
2011;Onondaga;PDI_15;Diabetes Short-term Complications;10;20,783;48.12;7.3;35.12;46.08;2.7
2011;Onondaga;PDI_16;Gastroenteritis;23;35,873;64.12;38.11;106.23;72.75;-15.11
2011;Onondaga;PDI_91;Pediatric Quality Acute Composite;9;20,783;43.3;13.85;66.65;49.66;-4.85
2011;Onondaga;PDI_92;Pediatric Quality Chronic Composite;22;20,783;105.86;49.15;236.48;110.62;-27.15
2011;Onondaga;PDI_90;Pediatric Quality Overall Composite;31;20,783;149.16;63;303.13;159.2;-32
2011;Onondaga;PDI_18;Urinary Tract Infection;11;35,873;30.66;15.64;43.59;39.94;-4.64
2011;Ontario;PDI_14;Asthma;1;5,012;19.95;9.33;186.1;34.03;-8.33
2011;Ontario;PDI_15;Diabetes Short-term Complications;0;3,383;0;1.14;33.73;0;-1.14
2011;Ontario;PDI_16;Gastroenteritis;0;5,921;0;5.89;99.54;0;-5.89
2011;Ontario;PDI_91;Pediatric Quality Acute Composite;0;3,383;0;2.1;62.13;0;-2.1
2011;Ontario;PDI_92;Pediatric Quality Chronic Composite;1;3,383;29.56;5.38;159.06;45.92;-4.38
2011;Ontario;PDI_90;Pediatric Quality Overall Composite;1;3,383;29.56;7.48;221.19;43.24;-6.48
2011;Ontario;PDI_18;Urinary Tract Infection;0;5,921;0;2.47;41.79;0;-2.47
2011;Orange;PDI_14;Asthma;42;26,964;155.76;70.63;261.92;188.73;-28.63
2011;Orange;PDI_15;Diabetes Short-term Complications;4;17,450;22.92;5.72;32.81;23.51;-1.72
2011;Orange;PDI_16;Gastroenteritis;35;32,035;109.26;38.27;119.46;110.24;-3.27
2011;Orange;PDI_91;Pediatric Quality Acute Composite;8;17,450;45.85;12.3;70.46;49.73;-4.3
2011;Orange;PDI_92;Pediatric Quality Chronic Composite;19;17,450;108.88;35.33;202.45;132.91;-16.33
2011;Orange;PDI_90;Pediatric Quality Overall Composite;27;17,450;154.73;47.62;272.91;183.44;-20.62
2011;Orange;PDI_18;Urinary Tract Infection;9;32,035;28.09;17.55;54.77;29.12;-8.55
2011;Orleans;PDI_14;Asthma;2;2,914;68.63;5.03;172.46;126.3;-3.03
2011;Orleans;PDI_15;Diabetes Short-term Complications;0;2,020;0;0.69;34.19;0;-0.69
2011;Orleans;PDI_16;Gastroenteritis;1;3,351;29.84;3.08;91.98;39.11;-2.08
2011;Orleans;PDI_91;Pediatric Quality Acute Composite;0;2,020;0;1.2;59.49;0;-1.2
2011;Orleans;PDI_92;Pediatric Quality Chronic Composite;0;2,020;0;3.04;150.41;0;-3.04
2011;Orleans;PDI_90;Pediatric Quality Overall Composite;0;2,020;0;4.24;209.9;0;-4.24
2011;Orleans;PDI_18;Urinary Tract Infection;0;3,351;0;1.34;40.1;0;-1.34
2011;Oswego;PDI_14;Asthma;9;9,143;98.44;11.85;129.62;241.01;-2.85
2011;Oswego;PDI_15;Diabetes Short-term Complications;2;6,237;32.07;2.16;34.63;31.15;-0.16
2011;Oswego;PDI_16;Gastroenteritis;8;10,770;74.28;9.51;88.27;101.43;-1.51
2011;Oswego;PDI_91;Pediatric Quality Acute Composite;2;6,237;32.07;3.47;55.61;44.07;-1.47
2011;Oswego;PDI_92;Pediatric Quality Chronic Composite;7;6,237;112.23;7.29;116.96;237.13;-0.29
2011;Oswego;PDI_90;Pediatric Quality Overall Composite;9;6,237;144.3;10.76;172.57;270.53;-1.76
2011;Oswego;PDI_18;Urinary Tract Infection;1;10,770;9.29;3.84;35.61;14.8;-2.84
2011;Otsego;PDI_14;Asthma;5;2,968;168.46;4.12;138.8;385.18;0.88
2011;Otsego;PDI_15;Diabetes Short-term Complications;2;2,037;98.18;0.72;35.2;93.83;1.28
2011;Otsego;PDI_16;Gastroenteritis;1;3,524;28.38;3.15;89.48;38.22;-2.15
2011;Otsego;PDI_91;Pediatric Quality Acute Composite;1;2,037;49.09;1.12;55.07;68.14;-0.12
2011;Otsego;PDI_92;Pediatric Quality Chronic Composite;4;2,037;196.37;2.48;121.72;398.69;1.52
