Indicator,Indicator_Number,County_name,County,Year,Output,Measure
Fine Particulate (PM2.5): Annual Average Concentration,1,Albany County,1,2002,11.44,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Bronx County,5,2002,15.86,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Broome County,7,2002,11.8,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Chautauqua Co,13,2002,11.33,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Dutchess Coun,27,2002,11.16,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Erie County,29,2002,13.65,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Essex County,31,2002,6.87,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Kings County,47,2002,14.69,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Monroe County,55,2002,11.59,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Nassau County,59,2002,11.93,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,New York Coun,61,2002,16.8,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Niagara Count,63,2002,11.83,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Oneida County,65,2002,12.45,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Onondaga Coun,67,2002,11.59,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Orange County,71,2002,11.51,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Queens County,81,2002,13.67,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Richmond Coun,85,2002,14.38,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,St. Lawrence,89,2002,9.92,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Schenectady C,93,2002,11.45,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Steuben Count,101,2002,10.37,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Suffolk Count,103,2002,11.97,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Westchester C,119,2002,12.29,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Albany County,1,2003,12.02,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Bronx County,5,2003,15.73,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Chautauqua Co,13,2003,9.66,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Erie County,29,2003,13.65,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Essex County,31,2003,5.93,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Kings County,47,2003,14.8,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Monroe County,55,2003,10.96,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Nassau County,59,2003,12.41,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,New York Coun,61,2003,15.78,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Niagara Count,63,2003,11.77,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Onondaga Coun,67,2003,9.99,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Orange County,71,2003,11.79,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Queens County,81,2003,13.54,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Richmond Coun,85,2003,11.36,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,St. Lawrence,89,2003,7.72,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Steuben Count,101,2003,9.48,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Suffolk Count,103,2003,11.87,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Westchester C,119,2003,12.15,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Albany County,1,2004,11.25,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Bronx County,5,2004,14.57,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Chautauqua Co,13,2004,9.56,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Erie County,29,2004,12.94,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Essex County,31,2004,5.82,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Kings County,47,2004,13.84,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Nassau County,59,2004,11.41,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,New York Coun,61,2004,15.66,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Niagara Count,63,2004,11.12,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Onondaga Coun,67,2004,9.96,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Orange County,71,2004,10.42,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Queens County,81,2004,12.17,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Richmond Coun,85,2004,13.35,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,St. Lawrence,89,2004,7.08,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Steuben Count,101,2004,8.88,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Suffolk Count,103,2004,10.69,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Westchester C,119,2004,11.27,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Albany County,1,2005,12.73,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Bronx County,5,2005,16.87,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Chautauqua Co,13,2005,11.05,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Erie County,29,2005,14.74,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Essex County,31,2005,6.67,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Kings County,47,2005,15.31,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Monroe County,55,2005,12.5,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Nassau County,59,2005,12.4,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,New York Coun,61,2005,17.17,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Niagara Count,63,2005,14,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Onondaga Coun,67,2005,11.55,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Orange County,71,2005,12.09,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Queens County,81,2005,12.38,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Richmond Coun,85,2005,14.53,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,St. Lawrence,89,2005,8.33,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Steuben Count,101,2005,9.78,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Suffolk Count,103,2005,12,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Westchester C,119,2005,12.41,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Albany County,1,2006,9.4,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Bronx County,5,2006,13.89,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Chautauqua Co,13,2006,8.32,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Erie County,29,2006,10.9,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Essex County,31,2006,5.47,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Kings County,47,2006,12.81,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Monroe County,55,2006,9.51,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Nassau County,59,2006,10.76,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,New York Coun,61,2006,14.41,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Niagara Count,63,2006,10.41,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Onondaga Coun,67,2006,8.25,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Orange County,71,2006,9.74,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Queens County,81,2006,11.61,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Richmond Coun,85,2006,12.24,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,St. Lawrence,89,2006,6.42,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Steuben Count,101,2006,8.2,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Suffolk Count,103,2006,10.39,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Westchester C,119,2006,11.04,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Albany County,1,2007,10.13,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Bronx County,5,2007,15.64,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Chautauqua Co,13,2007,9.66,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Erie County,29,2007,11.9,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Essex County,31,2007,5.57,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Kings County,47,2007,13.85,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Monroe County,55,2007,9.92,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Nassau County,59,2007,11.05,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,New York Coun,61,2007,16.11,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Niagara Count,63,2007,10.88,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Orange County,71,2007,10.59,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Queens County,81,2007,11.41,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Richmond Coun,85,2007,12.97,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,St. Lawrence,89,2007,5.95,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Steuben Count,101,2007,8.09,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Suffolk Count,103,2007,10.9,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Westchester C,119,2007,11.67,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Albany County,1,2008,9.52,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Bronx County,5,2008,13.5,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Chautauqua Co,13,2008,7.98,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Erie County,29,2008,10.71,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Essex County,31,2008,4.28,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Kings County,47,2008,11.97,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Monroe County,55,2008,9,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Nassau County,59,2008,10.87,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,New York Coun,61,2008,13.19,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Niagara Count,63,2008,9.71,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Onondaga Coun,67,2008,8.19,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Orange County,71,2008,9.53,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Queens County,81,2008,10.99,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Richmond Coun,85,2008,12.09,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Steuben Count,101,2008,8.01,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Suffolk Count,103,2008,10.08,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Westchester C,119,2008,10.97,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Albany County,1,2009,8.32,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Bronx County,5,2009,12.7,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Chautauqua Co,13,2009,7.35,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Erie County,29,2009,9.58,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Essex County,31,2009,4.58,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Kings County,47,2009,10.69,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Monroe County,55,2009,7.55,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Nassau County,59,2009,8.98,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,New York Coun,61,2009,11.58,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Niagara Count,63,2009,8.71,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Onondaga Coun,67,2009,7.6,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Orange County,71,2009,7.93,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Queens County,81,2009,9.53,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Richmond Coun,85,2009,9.77,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Steuben Count,101,2009,6.92,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Suffolk Count,103,2009,8.08,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Westchester C,119,2009,9.09,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Albany County,1,2010,7.97,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Bronx County,5,2010,11.41,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Chautauqua Co,13,2010,7.54,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Erie County,29,2010,10.16,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Essex County,31,2010,4.28,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Kings County,47,2010,9.88,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Monroe County,55,2010,8.32,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Nassau County,59,2010,8.74,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,New York Coun,61,2010,11.48,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Niagara Count,63,2010,8.3,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Onondaga Coun,67,2010,7.57,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Orange County,71,2010,8.08,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Queens County,81,2010,9.44,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Richmond Coun,85,2010,9.68,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Steuben Count,101,2010,7.24,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Suffolk Count,103,2010,8.43,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Westchester C,119,2010,8.84,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Albany County,1,2011,8.85,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Bronx County,5,2011,11.61,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Chautauqua Co,13,2011,7.29,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Erie County,29,2011,9.55,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Essex County,31,2011,4.24,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Kings County,47,2011,10.25,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Monroe County,55,2011,9.17,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Nassau County,59,2011,8.93,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,New York Coun,61,2011,12.11,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Onondaga Coun,67,2011,8.05,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Orange County,71,2011,8.58,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Queens County,81,2011,9.35,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Richmond Coun,85,2011,9.87,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Steuben Count,101,2011,7.02,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Suffolk Count,103,2011,8.81,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Westchester C,119,2011,9.34,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Albany County,1,2012,7.92,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Bronx County,5,2012,9.57,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Chautauqua Co,13,2012,7.59,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Erie County,29,2012,9.36,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Essex County,31,2012,4.42,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Kings County,47,2012,9.68,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Monroe County,55,2012,8.69,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,New York Coun,61,2012,11.67,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Niagara Count,63,2012,8.27,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Onondaga Coun,67,2012,7.21,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Orange County,71,2012,7.76,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Queens County,81,2012,8.49,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Richmond Coun,85,2012,9.41,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Steuben Count,101,2012,6.78,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Suffolk Count,103,2012,7.97,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Albany County,1,2013,7.22,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Bronx County,5,2013,9.13,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Erie County,29,2013,8.05,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Essex County,31,2013,4.37,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Kings County,47,2013,9.28,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Monroe County,55,2013,7.22,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,New York Coun,61,2013,11.29,Micrograms/cubic meter (LC)
