Indicator,Indicator_Number,County_name,County,Year,Output,Measure
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Erie County,29,2009,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Erie County,29,2010,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Erie County,29,2011,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Erie County,29,2012,14,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Erie County,29,2013,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Erie County,29,2014,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Erie County,29,2015,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Erie County,29,2016,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Essex County,31,2000,19,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Essex County,31,2001,20,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Essex County,31,2002,31,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Essex County,31,2003,18,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Essex County,31,2004,9,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Essex County,31,2005,19,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Essex County,31,2006,8,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Essex County,31,2007,25,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Essex County,31,2008,7,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Essex County,31,2009,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Essex County,31,2010,8,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Essex County,31,2011,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Essex County,31,2012,8,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Essex County,31,2013,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Essex County,31,2014,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Essex County,31,2015,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Essex County,31,2016,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Franklin Coun,33,2008,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Franklin Coun,33,2010,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Franklin Coun,33,2012,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Franklin Coun,33,2013,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Franklin Coun,33,2014,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Franklin Coun,33,2015,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Franklin Coun,33,2016,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Hamilton Coun,41,2000,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Hamilton Coun,41,2001,10,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Hamilton Coun,41,2002,15,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Hamilton Coun,41,2003,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Hamilton Coun,41,2004,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Hamilton Coun,41,2005,7,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Hamilton Coun,41,2006,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Hamilton Coun,41,2007,8,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Hamilton Coun,41,2008,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Hamilton Coun,41,2009,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Hamilton Coun,41,2010,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Hamilton Coun,41,2011,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Hamilton Coun,41,2012,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Hamilton Coun,41,2013,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Hamilton Coun,41,2014,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Hamilton Coun,41,2015,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Hamilton Coun,41,2016,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Herkimer Coun,43,2000,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Herkimer Coun,43,2001,7,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Herkimer Coun,43,2002,9,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Herkimer Coun,43,2003,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Herkimer Coun,43,2004,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Herkimer Coun,43,2005,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Herkimer Coun,43,2006,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Herkimer Coun,43,2007,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Herkimer Coun,43,2008,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Herkimer Coun,43,2009,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Herkimer Coun,43,2010,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Herkimer Coun,43,2011,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Herkimer Coun,43,2012,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Herkimer Coun,43,2013,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Herkimer Coun,43,2014,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Herkimer Coun,43,2015,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Herkimer Coun,43,2016,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Jefferson Cou,45,2000,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Jefferson Cou,45,2001,31,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Jefferson Cou,45,2002,27,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Jefferson Cou,45,2003,16,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Jefferson Cou,45,2004,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Jefferson Cou,45,2005,17,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Jefferson Cou,45,2006,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Jefferson Cou,45,2007,16,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Jefferson Cou,45,2008,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Jefferson Cou,45,2009,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Jefferson Cou,45,2010,10,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Jefferson Cou,45,2011,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Jefferson Cou,45,2012,10,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Jefferson Cou,45,2013,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Jefferson Cou,45,2014,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Jefferson Cou,45,2015,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Jefferson Cou,45,2016,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Madison Count,53,2000,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Madison Count,53,2001,16,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Madison Count,53,2002,21,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Madison Count,53,2003,7,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Madison Count,53,2004,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Madison Count,53,2005,9,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Madison Count,53,2006,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Madison Count,53,2007,9,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Madison Count,53,2008,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Madison Count,53,2009,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Madison Count,53,2010,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Madison Count,53,2011,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Monroe County,55,2000,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Monroe County,55,2001,11,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Monroe County,55,2002,25,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Monroe County,55,2003,10,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Monroe County,55,2004,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Monroe County,55,2005,10,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Monroe County,55,2006,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Monroe County,55,2007,12,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Monroe County,55,2008,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Monroe County,55,2009,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Monroe County,55,2010,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Monroe County,55,2012,12,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Monroe County,55,2013,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Monroe County,55,2014,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Monroe County,55,2015,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Monroe County,55,2016,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,New York Coun,61,2000,23,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,New York Coun,61,2008,9,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,New York Coun,61,2009,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,New York Coun,61,2010,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,New York Coun,61,2011,10,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,New York Coun,61,2012,7,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,New York Coun,61,2013,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,New York Coun,61,2014,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,New York Coun,61,2015,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,New York Coun,61,2016,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Niagara Count,63,2000,9,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Niagara Count,63,2001,27,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Niagara Count,63,2002,25,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Niagara Count,63,2003,14,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Niagara Count,63,2004,10,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Niagara Count,63,2005,27,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Niagara Count,63,2007,19,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Niagara Count,63,2008,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Niagara Count,63,2009,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Niagara Count,63,2010,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Niagara Count,63,2011,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Niagara Count,63,2012,11,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Niagara Count,63,2013,1,Days
